               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10172,            0.070247,            0.068927,           0.0028357,            0.078188,           0.0021907,           0.0004752,            0.097471,            0.046897,            0.061604,             0.00256,             0.00256,             0.07696
                   1,            0.091746,            0.073622,            0.063793,           0.0091804,            0.092991,           0.0057388,           0.0011914,            0.090844,            0.046283,            0.057696,           0.0051297,           0.0051297,             0.05383
                   2,            0.085968,            0.074823,            0.059942,            0.088099,            0.062586,             0.01353,           0.0028338,            0.088191,            0.045954,             0.05302,           0.0076983,           0.0076983,            0.030698
                   3,            0.082877,            0.073669,             0.05576,             0.10428,            0.099432,            0.026845,           0.0063051,            0.087723,            0.047344,            0.050848,            0.009995,            0.009995,            0.009995
                   4,            0.080235,            0.073151,            0.053089,             0.10173,              0.1602,            0.061559,            0.016094,            0.081293,            0.043768,            0.048595,            0.009995,            0.009995,            0.009995
                   5,            0.077891,            0.071938,            0.051029,             0.14756,              0.1631,            0.088147,            0.024278,            0.079012,            0.043121,            0.044015,           0.0099911,           0.0099911,           0.0099911
                   6,            0.076267,            0.071098,             0.04875,             0.30876,             0.17069,             0.11762,            0.035588,            0.077411,            0.043244,            0.042146,           0.0099861,           0.0099861,           0.0099861
                   7,            0.075157,            0.070536,            0.046931,             0.17632,             0.24831,             0.14181,             0.04515,            0.076476,            0.042215,            0.041442,             0.00998,             0.00998,             0.00998
                   8,            0.074121,            0.070115,            0.045097,             0.22328,             0.28084,             0.17752,            0.060731,            0.074903,            0.041534,            0.037865,           0.0099728,           0.0099728,           0.0099728
                   9,            0.073342,            0.069652,            0.044244,             0.37628,             0.26958,             0.19396,            0.066656,            0.073565,            0.041079,            0.038894,           0.0099645,           0.0099645,           0.0099645
                  10,            0.072243,            0.069719,             0.04275,             0.27347,             0.27746,             0.19985,            0.069871,            0.073261,            0.042663,            0.037369,           0.0099551,           0.0099551,           0.0099551
                  11,            0.071764,            0.068918,            0.041456,             0.34999,             0.28677,             0.23537,              0.0859,            0.072111,            0.040704,             0.03425,           0.0099446,           0.0099446,           0.0099446
                  12,            0.070933,            0.068735,            0.040155,              0.3272,             0.32211,             0.25593,            0.095436,            0.071324,            0.040587,            0.035213,            0.009933,            0.009933,            0.009933
                  13,            0.070464,            0.068456,            0.039574,             0.33741,             0.33387,             0.27014,             0.10213,             0.07052,            0.040309,            0.032494,           0.0099203,           0.0099203,           0.0099203
                  14,            0.069845,            0.067915,            0.039009,              0.3496,             0.32525,             0.26693,            0.096349,            0.070082,            0.040184,            0.032937,           0.0099065,           0.0099065,           0.0099065
                  15,            0.069155,            0.067407,            0.037943,              0.3935,             0.34722,             0.29326,             0.11536,            0.070285,            0.039869,            0.031348,           0.0098916,           0.0098916,           0.0098916
                  16,             0.06858,            0.067362,            0.037276,             0.38876,             0.36371,             0.31882,             0.12804,            0.068664,            0.040236,             0.03074,           0.0098757,           0.0098757,           0.0098757
                  17,            0.068163,            0.067442,            0.036302,             0.43139,             0.34268,             0.32262,             0.13007,            0.068763,            0.039803,            0.031752,           0.0098586,           0.0098586,           0.0098586
                  18,            0.067957,            0.067029,            0.035746,             0.39976,             0.36532,             0.33292,             0.13869,            0.067735,            0.039472,            0.030015,           0.0098405,           0.0098405,           0.0098405
                  19,            0.067313,            0.065954,            0.035355,             0.46031,             0.34018,             0.33851,              0.1403,            0.067402,            0.039172,             0.02936,           0.0098213,           0.0098213,           0.0098213
                  20,            0.067128,            0.066055,            0.034622,             0.49542,             0.34569,             0.34647,             0.14308,            0.067159,            0.039504,            0.030498,           0.0098011,           0.0098011,           0.0098011
                  21,            0.066868,            0.065686,            0.034144,             0.46484,               0.378,             0.37699,             0.16025,            0.066554,            0.039053,            0.028036,           0.0097798,           0.0097798,           0.0097798
                  22,            0.066411,            0.065614,            0.033694,             0.43879,             0.37024,             0.34982,             0.14049,            0.066694,            0.039854,            0.027948,           0.0097574,           0.0097574,           0.0097574
                  23,            0.065846,            0.065696,            0.032946,             0.48256,             0.40398,             0.39471,             0.16973,            0.065564,            0.038991,             0.02633,            0.009734,            0.009734,            0.009734
                  24,            0.065819,            0.064462,            0.032647,             0.50084,             0.39376,             0.39709,                0.17,            0.065272,            0.038558,            0.026466,           0.0097095,           0.0097095,           0.0097095
                  25,            0.065331,            0.065713,            0.032136,             0.51182,             0.41466,              0.4212,               0.186,            0.064724,            0.038148,            0.025879,            0.009684,            0.009684,            0.009684
                  26,            0.065108,            0.064867,            0.031657,             0.55331,             0.41346,             0.42473,             0.18439,             0.06438,            0.038263,            0.025325,           0.0096575,           0.0096575,           0.0096575
