               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11268,            0.059172,            0.079101,           0.0073767,              0.0262,           0.0024638,          0.00055846,             0.10633,            0.039976,            0.068576,             0.00256,             0.00256,             0.07696
                   1,            0.094781,            0.070707,            0.066571,            0.011725,            0.064295,           0.0061177,           0.0013056,            0.093719,            0.045207,            0.060145,           0.0051297,           0.0051297,             0.05383
                   2,             0.08621,            0.075327,            0.061265,            0.046106,            0.081543,            0.015187,           0.0034799,            0.088071,            0.048355,            0.054852,           0.0076983,           0.0076983,            0.030698
                   3,            0.081568,            0.074399,            0.057817,             0.19442,            0.069186,            0.027411,           0.0066611,            0.086616,            0.043376,             0.05543,            0.009995,            0.009995,            0.009995
                   4,            0.078886,            0.073099,            0.054414,             0.18955,             0.18192,             0.07793,             0.02317,            0.079096,            0.043929,            0.047172,            0.009995,            0.009995,            0.009995
                   5,            0.076898,            0.071284,            0.051706,             0.10877,             0.21997,            0.083675,            0.025222,            0.079326,            0.043258,            0.049495,           0.0099911,           0.0099911,           0.0099911
                   6,            0.075546,            0.071492,            0.049858,             0.22379,             0.20578,             0.11431,            0.038922,            0.076567,            0.042999,             0.04516,           0.0099861,           0.0099861,           0.0099861
                   7,            0.074342,            0.071026,            0.047938,             0.23431,             0.21983,             0.15033,            0.051164,            0.075028,             0.04248,            0.040104,             0.00998,             0.00998,             0.00998
                   8,            0.073391,            0.070419,            0.046503,             0.24866,             0.25783,             0.15814,            0.056867,            0.074993,            0.041718,             0.04127,           0.0099728,           0.0099728,           0.0099728
                   9,            0.072464,            0.069902,            0.045299,             0.22299,             0.26122,              0.1709,            0.062545,            0.073807,            0.041704,            0.041041,           0.0099645,           0.0099645,           0.0099645
                  10,            0.072163,            0.069272,            0.044184,             0.26803,             0.27907,             0.18958,             0.06936,             0.07296,            0.041718,             0.03887,           0.0099551,           0.0099551,           0.0099551
                  11,            0.071342,            0.069593,            0.043627,             0.28256,             0.29071,             0.21292,            0.081518,             0.07222,            0.040797,            0.036064,           0.0099446,           0.0099446,           0.0099446
                  12,            0.070731,            0.068572,            0.042471,             0.32432,              0.2855,             0.21938,            0.080858,            0.072242,            0.040928,            0.036144,            0.009933,            0.009933,            0.009933
                  13,            0.070274,            0.069094,            0.041692,             0.30176,             0.32796,             0.24934,            0.096091,            0.070784,            0.040552,            0.033786,           0.0099203,           0.0099203,           0.0099203
                  14,            0.070069,            0.068681,            0.040775,             0.32438,             0.32261,             0.26489,             0.10551,            0.070526,            0.040317,            0.033287,           0.0099065,           0.0099065,           0.0099065
                  15,            0.069649,            0.069348,            0.040378,             0.35989,             0.32934,             0.28312,             0.11457,            0.070198,            0.040264,            0.032483,           0.0098916,           0.0098916,           0.0098916
                  16,            0.069422,            0.068898,            0.040231,             0.34698,             0.35018,             0.28067,             0.11223,            0.069677,            0.040193,            0.031879,           0.0098757,           0.0098757,           0.0098757
                  17,            0.068919,            0.068285,            0.039177,             0.38564,             0.33395,             0.29811,             0.12213,            0.069266,            0.040001,            0.032243,           0.0098586,           0.0098586,           0.0098586
                  18,            0.068559,            0.068481,            0.038656,             0.39519,             0.32646,             0.30462,             0.12643,            0.069049,            0.039955,            0.032031,           0.0098405,           0.0098405,           0.0098405
                  19,            0.068146,             0.06882,             0.03847,             0.40579,             0.34256,             0.31462,             0.12876,            0.068571,             0.04002,            0.030516,           0.0098213,           0.0098213,           0.0098213
                  20,            0.067928,            0.067705,            0.037942,             0.42847,             0.36439,             0.32017,             0.13499,            0.068401,            0.039862,            0.030959,           0.0098011,           0.0098011,           0.0098011
                  21,            0.067638,            0.067629,            0.037481,             0.36259,             0.35214,               0.307,             0.12585,             0.06862,            0.040343,            0.030495,           0.0097798,           0.0097798,           0.0097798
                  22,            0.067362,            0.067286,            0.037296,             0.42591,             0.36618,             0.34795,             0.14796,            0.067411,             0.03941,            0.029436,           0.0097574,           0.0097574,           0.0097574
                  23,            0.066994,            0.066848,            0.036466,             0.39125,             0.37375,             0.33858,             0.14056,            0.067288,            0.039669,            0.028319,            0.009734,            0.009734,            0.009734
                  24,            0.066773,            0.066363,            0.036317,             0.46987,             0.34838,             0.33963,             0.14634,            0.067597,            0.039618,            0.030334,           0.0097095,           0.0097095,           0.0097095
                  25,            0.066615,            0.066718,            0.035846,             0.45427,              0.3516,             0.35597,             0.15477,            0.067858,            0.039755,            0.028309,            0.009684,            0.009684,            0.009684
                  26,            0.066439,            0.067117,            0.035207,             0.46597,             0.36765,             0.37338,             0.16555,            0.066997,            0.038856,            0.027322,           0.0096575,           0.0096575,           0.0096575
                  27,            0.066391,            0.066648,            0.035231,             0.50612,             0.35528,              0.3728,              0.1663,            0.066444,            0.039047,            0.027705,           0.0096299,           0.0096299,           0.0096299
                  28,            0.066183,             0.06621,            0.034962,              0.4411,              0.4017,             0.37729,             0.16793,            0.065898,            0.038962,            0.028496,           0.0096013,           0.0096013,           0.0096013
                  29,            0.066083,            0.067237,            0.034131,             0.49636,             0.38926,              0.3926,             0.17215,             0.06537,            0.038724,            0.026095,           0.0095717,           0.0095717,           0.0095717
                  30,            0.065546,            0.066434,             0.03426,             0.50154,             0.38562,             0.39606,             0.17889,            0.065478,            0.038902,            0.026053,           0.0095411,           0.0095411,           0.0095411
                  31,            0.065157,            0.066195,            0.033487,             0.49299,             0.40531,             0.40705,              0.1815,            0.064846,            0.038716,            0.026458,           0.0095095,           0.0095095,           0.0095095
                  32,            0.065621,            0.066221,            0.033344,             0.47073,             0.40621,             0.39885,             0.18018,            0.064938,            0.039012,            0.026245,           0.0094769,           0.0094769,           0.0094769
                  33,            0.065157,            0.066257,            0.033366,             0.52892,             0.41513,             0.41298,             0.18865,            0.064553,            0.038477,            0.026096,           0.0094434,           0.0094434,           0.0094434
                  34,            0.064895,            0.066423,             0.03306,             0.48592,             0.42421,             0.42079,             0.19442,             0.06452,            0.038193,            0.025482,           0.0094088,           0.0094088,           0.0094088
