               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09341,            0.046192,            0.069145,           0.0023589,           0.0024378,          0.00067228,          0.00012117,            0.089808,            0.029891,            0.061876,             0.00256,             0.00256,             0.07696
                   1,            0.084946,            0.048486,            0.064967,             0.05325,            0.010741,           0.0021338,          0.00041238,            0.088005,            0.030352,            0.060657,           0.0051297,           0.0051297,             0.05383
                   2,            0.080695,            0.047195,            0.062626,            0.010201,            0.034807,           0.0070673,           0.0013852,            0.081813,            0.028265,            0.056894,           0.0076983,           0.0076983,            0.030698
                   3,            0.076857,            0.046032,            0.060467,             0.32957,             0.07166,            0.016547,            0.003626,            0.078399,            0.027907,            0.055072,            0.009995,            0.009995,            0.009995
                   4,            0.072112,            0.044586,            0.056536,             0.28729,            0.075567,            0.018929,           0.0036704,            0.076978,            0.026471,             0.04981,            0.009995,            0.009995,            0.009995
                   5,             0.06876,            0.043771,            0.052787,             0.12122,             0.12198,            0.033543,           0.0070584,            0.074628,            0.025876,            0.048741,           0.0099911,           0.0099911,           0.0099911
                   6,            0.067105,            0.042993,            0.050333,             0.25176,             0.17905,            0.086549,            0.021592,            0.068638,            0.025138,            0.042355,           0.0099861,           0.0099861,           0.0099861
                   7,            0.065839,            0.042784,            0.047754,             0.18234,             0.20434,            0.088205,            0.020403,            0.067842,            0.024751,            0.041982,             0.00998,             0.00998,             0.00998
                   8,            0.064541,            0.042029,            0.045958,             0.31805,              0.1941,             0.11364,            0.026635,            0.066918,            0.024383,            0.037759,           0.0099728,           0.0099728,           0.0099728
                   9,            0.063625,             0.04161,            0.044284,             0.27182,             0.23263,             0.13164,            0.030792,            0.065784,            0.024243,            0.037869,           0.0099645,           0.0099645,           0.0099645
                  10,            0.062689,            0.041566,            0.043045,             0.22128,             0.28354,             0.17813,             0.04556,            0.063961,            0.024152,            0.035747,           0.0099551,           0.0099551,           0.0099551
                  11,            0.061703,             0.04172,            0.041876,              0.3273,             0.26741,             0.16832,            0.041285,            0.063192,            0.024113,            0.033099,           0.0099446,           0.0099446,           0.0099446
                  12,             0.06099,             0.04106,            0.040612,             0.29438,             0.23687,             0.16545,             0.04342,             0.06477,            0.024083,            0.033983,            0.009933,            0.009933,            0.009933
                  13,            0.060537,            0.040643,            0.039289,             0.32572,             0.28778,             0.19852,            0.048724,            0.061903,            0.023365,             0.03088,           0.0099203,           0.0099203,           0.0099203
                  14,            0.059964,             0.04073,            0.038192,             0.29603,              0.2947,              0.2265,            0.058163,             0.06155,            0.023429,            0.029884,           0.0099065,           0.0099065,           0.0099065
                  15,            0.059591,            0.040413,            0.038067,             0.31969,             0.26287,             0.20159,            0.055502,            0.062243,            0.023782,            0.035797,           0.0098916,           0.0098916,           0.0098916
                  16,            0.058946,            0.039881,            0.036876,             0.29973,             0.25867,             0.20628,            0.055429,             0.06192,            0.023719,             0.03277,           0.0098757,           0.0098757,           0.0098757
                  17,            0.058284,            0.039743,            0.035106,             0.32374,             0.28989,             0.22391,            0.054147,            0.059795,            0.022938,            0.027655,           0.0098586,           0.0098586,           0.0098586
                  18,            0.057881,            0.039537,            0.034641,             0.33774,             0.30528,             0.25498,            0.069299,            0.059908,            0.022925,            0.028047,           0.0098405,           0.0098405,           0.0098405
                  19,            0.057235,            0.039435,            0.034147,              0.3586,             0.29988,             0.24018,            0.058414,            0.058789,            0.023247,            0.027394,           0.0098213,           0.0098213,           0.0098213
                  20,            0.056927,            0.039341,            0.032795,             0.38044,             0.30025,             0.26172,            0.069794,             0.05901,            0.023156,            0.027007,           0.0098011,           0.0098011,           0.0098011
                  21,            0.056858,             0.03917,            0.033004,             0.35999,             0.32947,              0.2796,            0.072072,            0.058197,            0.022734,            0.024759,           0.0097798,           0.0097798,           0.0097798
                  22,             0.05615,            0.038742,            0.032174,             0.37998,             0.33689,              0.2908,            0.077369,            0.057409,            0.022627,            0.026412,           0.0097574,           0.0097574,           0.0097574
                  23,              0.0559,            0.039252,            0.031645,             0.39879,             0.35672,             0.31255,            0.089892,            0.056931,            0.022346,            0.024654,            0.009734,            0.009734,            0.009734
                  24,             0.05555,            0.038313,            0.031526,             0.38537,             0.31769,             0.27905,            0.067632,            0.057332,            0.022632,             0.02345,           0.0097095,           0.0097095,           0.0097095
                  25,            0.055047,            0.038091,            0.030484,             0.37624,             0.36114,             0.30114,            0.081697,            0.056524,            0.022601,            0.023848,            0.009684,            0.009684,            0.009684
                  26,            0.054743,            0.038208,            0.029759,             0.40309,             0.34087,             0.30416,            0.082792,            0.056966,            0.022629,            0.023384,           0.0096575,           0.0096575,           0.0096575
                  27,            0.054474,            0.038185,            0.029023,             0.39197,             0.34262,             0.30578,            0.081332,            0.057044,            0.022667,            0.024267,           0.0096299,           0.0096299,           0.0096299
                  28,            0.054237,            0.038081,             0.02943,             0.37179,             0.34497,             0.30063,            0.078537,            0.056982,            0.022382,            0.024859,           0.0096013,           0.0096013,           0.0096013
                  29,            0.054228,            0.038244,            0.029432,             0.41968,              0.3722,             0.33721,            0.096178,            0.055398,            0.022041,             0.02127,           0.0095717,           0.0095717,           0.0095717
                  30,             0.05392,            0.037846,            0.028348,             0.37781,             0.35444,             0.30217,            0.076126,            0.055581,            0.022166,            0.021107,           0.0095411,           0.0095411,           0.0095411
                  31,            0.053478,            0.037643,            0.027788,             0.45885,             0.37013,             0.35789,            0.096538,            0.054743,            0.021871,            0.020502,           0.0095095,           0.0095095,           0.0095095
                  32,            0.053253,            0.037669,            0.027411,             0.42557,             0.36694,             0.34081,            0.089544,            0.054735,            0.022001,             0.02065,           0.0094769,           0.0094769,           0.0094769
                  33,            0.052989,            0.037685,            0.027246,             0.45257,             0.35914,             0.34896,             0.10007,              0.0548,            0.021938,            0.020036,           0.0094434,           0.0094434,           0.0094434
                  34,            0.052568,            0.037247,            0.026397,             0.43202,             0.38966,             0.35637,            0.095698,            0.054686,            0.021939,            0.019904,           0.0094088,           0.0094088,           0.0094088
                  35,            0.052355,            0.037257,             0.02625,             0.44068,             0.39064,             0.36957,             0.10209,            0.054093,             0.02173,            0.018916,           0.0093733,           0.0093733,           0.0093733
                  36,            0.052209,            0.036948,            0.025881,             0.44402,             0.36168,             0.35114,            0.095679,            0.055115,            0.022038,            0.021428,           0.0093369,           0.0093369,           0.0093369
                  37,            0.051973,            0.036873,            0.025496,               0.469,             0.40495,             0.38966,              0.1098,            0.053463,            0.021691,            0.019348,           0.0092995,           0.0092995,           0.0092995
                  38,            0.051908,            0.036959,            0.025242,              0.4451,             0.41533,             0.38453,             0.10736,            0.053213,            0.021541,            0.018636,           0.0092611,           0.0092611,           0.0092611
                  39,            0.051591,            0.036582,            0.024721,              0.4863,             0.39751,             0.39714,             0.11494,            0.053372,            0.021566,             0.01788,           0.0092219,           0.0092219,           0.0092219
                  40,            0.051609,             0.03677,            0.025403,             0.45409,              0.4021,             0.37652,             0.10512,            0.053353,            0.021532,            0.020981,           0.0091817,           0.0091817,           0.0091817
                  41,            0.051053,            0.036507,            0.024352,             0.51404,             0.40149,             0.40512,             0.11291,            0.052557,            0.021458,            0.017902,           0.0091406,           0.0091406,           0.0091406
                  42,            0.051154,            0.036342,            0.024031,             0.47916,             0.40195,             0.38947,             0.10999,            0.052802,            0.021434,            0.018076,           0.0090986,           0.0090986,           0.0090986
                  43,            0.050706,            0.036443,            0.023786,             0.46806,             0.42018,             0.39503,             0.11194,            0.052441,            0.021338,            0.017002,           0.0090557,           0.0090557,           0.0090557
                  44,            0.050504,            0.035925,            0.023518,             0.45621,             0.43234,              0.4095,             0.11696,            0.052069,            0.021415,            0.017231,           0.0090119,           0.0090119,           0.0090119
                  45,            0.050268,            0.036011,            0.022985,             0.45749,             0.41818,             0.39309,             0.11057,            0.052092,            0.021336,            0.017714,           0.0089673,           0.0089673,           0.0089673
                  46,            0.050067,             0.03598,            0.023002,             0.44758,             0.42818,             0.39115,             0.10924,            0.051996,             0.02121,            0.017056,           0.0089218,           0.0089218,           0.0089218
                  47,            0.049941,            0.035989,             0.02267,             0.48462,             0.41347,             0.40711,             0.11646,            0.052041,            0.021216,            0.016945,           0.0088755,           0.0088755,           0.0088755
                  48,             0.04984,            0.035555,            0.022406,             0.51916,             0.41272,             0.41424,             0.11744,            0.051431,            0.021171,             0.01716,           0.0088283,           0.0088283,           0.0088283
                  49,             0.04952,            0.035547,            0.022572,             0.51194,             0.41531,             0.41029,               0.117,            0.051372,            0.020918,            0.016775,           0.0087804,           0.0087804,           0.0087804
                  50,            0.049254,            0.035476,            0.021999,             0.52227,             0.41432,             0.42461,             0.12491,            0.051377,            0.021056,            0.016499,           0.0087316,           0.0087316,           0.0087316
                  51,            0.049228,             0.03552,            0.021716,             0.51278,             0.42519,              0.4301,             0.12339,            0.051051,            0.020946,            0.016347,            0.008682,            0.008682,            0.008682
                  52,            0.049137,            0.035486,            0.021514,             0.50803,             0.42581,             0.42218,             0.12103,            0.050944,            0.021033,            0.016084,           0.0086316,           0.0086316,           0.0086316
                  53,            0.049012,            0.035259,            0.021117,              0.4958,             0.44621,             0.43167,             0.12333,            0.051052,            0.020998,            0.015882,           0.0085805,           0.0085805,           0.0085805
