               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11107,            0.061794,            0.075742,           0.0051883,            0.022282,           0.0016423,          0.00034192,             0.10433,            0.040037,            0.070675,             0.00256,             0.00256,             0.07696
                   1,            0.090708,            0.074239,            0.064542,            0.021426,            0.047955,           0.0079324,           0.0016532,            0.090764,            0.045156,            0.058121,           0.0051297,           0.0051297,             0.05383
                   2,            0.084282,            0.074067,            0.061088,            0.022825,            0.058507,            0.010567,           0.0022288,            0.089739,            0.043094,             0.05642,           0.0076983,           0.0076983,            0.030698
                   3,            0.081102,            0.073457,            0.058123,             0.18235,             0.12424,            0.038562,            0.010184,             0.08408,            0.044873,            0.052928,            0.009995,            0.009995,            0.009995
                   4,            0.078242,            0.071993,            0.054805,             0.16505,             0.11262,            0.056281,             0.01611,            0.081703,            0.043845,            0.054502,            0.009995,            0.009995,            0.009995
                   5,            0.076471,             0.07158,            0.052409,             0.16014,             0.15497,             0.06775,            0.019787,            0.079557,            0.043299,            0.048608,           0.0099911,           0.0099911,           0.0099911
                   6,            0.074975,            0.071619,            0.050132,             0.18708,             0.17208,            0.088865,            0.027988,            0.080273,            0.042894,            0.044331,           0.0099861,           0.0099861,           0.0099861
                   7,            0.074045,            0.070938,            0.048766,             0.27847,              0.2106,             0.13935,            0.047283,            0.074896,            0.042245,            0.043031,             0.00998,             0.00998,             0.00998
                   8,              0.0733,            0.070921,            0.047199,             0.24397,             0.25508,             0.15909,            0.055358,            0.074173,            0.042141,            0.039063,           0.0099728,           0.0099728,           0.0099728
                   9,             0.07245,            0.070349,            0.046211,             0.31949,             0.22399,             0.15328,             0.05053,            0.074053,            0.041859,            0.040082,           0.0099645,           0.0099645,           0.0099645
                  10,            0.071869,             0.07006,            0.045018,             0.21761,             0.26787,             0.16924,             0.06156,            0.074161,            0.042088,             0.03941,           0.0099551,           0.0099551,           0.0099551
                  11,            0.071506,            0.070216,            0.043905,             0.24906,             0.27789,             0.19331,            0.071263,            0.072484,             0.04148,            0.036134,           0.0099446,           0.0099446,           0.0099446
                  12,            0.070731,            0.069887,            0.043177,             0.30095,             0.29384,             0.21275,             0.08015,            0.071857,            0.041142,            0.036914,            0.009933,            0.009933,            0.009933
                  13,            0.070414,            0.069682,            0.042518,             0.30677,             0.28407,             0.20726,            0.077844,            0.071736,            0.042134,            0.035961,           0.0099203,           0.0099203,           0.0099203
                  14,            0.069802,            0.068587,             0.04175,             0.37553,             0.27238,             0.22993,             0.08992,            0.071293,            0.041003,            0.036447,           0.0099065,           0.0099065,           0.0099065
                  15,            0.069638,            0.069036,            0.041182,             0.32597,             0.27916,             0.22712,            0.086022,            0.071363,            0.040962,             0.03567,           0.0098916,           0.0098916,           0.0098916
                  16,             0.06925,             0.06865,            0.040274,             0.33708,             0.30992,             0.25581,              0.1016,            0.069697,            0.040735,            0.032867,           0.0098757,           0.0098757,           0.0098757
                  17,            0.068641,            0.068622,            0.040054,             0.32055,             0.31474,              0.2577,             0.10178,            0.069936,            0.040529,            0.034048,           0.0098586,           0.0098586,           0.0098586
                  18,            0.068486,            0.068306,            0.039492,             0.35595,             0.32573,              0.2854,             0.11435,            0.069354,            0.040399,            0.031519,           0.0098405,           0.0098405,           0.0098405
                  19,            0.067914,            0.067863,            0.038537,             0.37582,             0.32364,             0.28272,              0.1167,            0.069321,            0.040474,            0.032528,           0.0098213,           0.0098213,           0.0098213
                  20,            0.067867,            0.067237,            0.038163,             0.38049,             0.32879,             0.29961,             0.12532,             0.06864,            0.040517,            0.031367,           0.0098011,           0.0098011,           0.0098011
                  21,            0.067706,            0.068281,            0.037713,             0.33526,             0.35475,              0.2981,             0.12343,            0.068184,            0.039781,            0.030089,           0.0097798,           0.0097798,           0.0097798
                  22,            0.067183,            0.067709,             0.03711,             0.37423,             0.37316,             0.32652,             0.13856,             0.06737,            0.039594,            0.029539,           0.0097574,           0.0097574,           0.0097574
                  23,            0.067092,             0.06759,            0.036745,             0.40891,             0.32318,             0.30582,             0.12622,            0.068101,            0.039738,            0.030631,            0.009734,            0.009734,            0.009734
