               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10189,            0.050188,             0.07646,           0.0036524,             0.14604,           0.0026083,          0.00058043,            0.091263,            0.034325,            0.061828,             0.00256,             0.00256,             0.07696
                   1,            0.085868,            0.054359,             0.06503,            0.014009,            0.073129,           0.0071553,           0.0016093,            0.088531,            0.034092,            0.063841,           0.0051297,           0.0051297,             0.05383
                   2,            0.080881,            0.053851,            0.060703,            0.094779,            0.087952,            0.026287,           0.0064113,            0.081028,            0.032639,            0.053757,           0.0076983,           0.0076983,            0.030698
                   3,            0.077462,             0.05315,            0.057537,             0.05432,              0.1319,            0.025818,           0.0068945,            0.082217,            0.033205,            0.056979,            0.009995,            0.009995,            0.009995
                   4,            0.075575,            0.052309,            0.054195,            0.097887,             0.16291,            0.053205,            0.015282,            0.077675,            0.032204,            0.049494,            0.009995,            0.009995,            0.009995
                   5,            0.073267,            0.051967,            0.051224,             0.19473,             0.19366,            0.093654,            0.027437,            0.075234,            0.031031,            0.042588,           0.0099911,           0.0099911,           0.0099911
                   6,            0.071748,            0.051705,            0.049215,             0.25652,             0.19431,             0.11074,            0.034996,            0.074869,            0.031003,            0.042332,           0.0099861,           0.0099861,           0.0099861
                   7,            0.070877,            0.051579,            0.047905,             0.18355,             0.22568,             0.11879,            0.034949,            0.072047,            0.030929,            0.042374,             0.00998,             0.00998,             0.00998
                   8,            0.069823,            0.051408,            0.046104,             0.18592,             0.25854,             0.14283,            0.047725,            0.070976,            0.030266,            0.039037,           0.0099728,           0.0099728,           0.0099728
                   9,            0.069581,            0.051471,             0.04545,               0.316,             0.23436,             0.16723,            0.055618,            0.070125,            0.030277,            0.038441,           0.0099645,           0.0099645,           0.0099645
                  10,            0.068702,             0.05102,             0.04429,             0.26154,             0.24221,             0.16162,            0.053595,            0.071122,            0.030405,            0.037043,           0.0099551,           0.0099551,           0.0099551
                  11,            0.068435,            0.050751,            0.043159,             0.30983,             0.26962,             0.19032,            0.066145,             0.06845,            0.029683,            0.035846,           0.0099446,           0.0099446,           0.0099446
                  12,            0.067723,             0.05022,             0.04294,             0.30292,             0.26447,             0.20746,            0.074265,            0.068428,            0.029763,            0.035455,            0.009933,            0.009933,            0.009933
                  13,            0.067096,            0.050663,             0.04179,             0.30622,                0.29,             0.21762,             0.07784,            0.067344,            0.029551,            0.034223,           0.0099203,           0.0099203,           0.0099203
                  14,            0.066959,             0.05059,            0.041696,             0.38599,             0.28281,             0.23941,            0.089371,            0.067153,            0.029351,            0.033471,           0.0099065,           0.0099065,           0.0099065
                  15,            0.066509,            0.050411,            0.040484,             0.31467,              0.2841,             0.24109,            0.091562,            0.066879,             0.02947,            0.032523,           0.0098916,           0.0098916,           0.0098916
                  16,            0.066077,            0.049598,            0.039629,             0.33447,             0.30269,             0.24714,            0.090876,            0.066705,            0.029617,            0.032424,           0.0098757,           0.0098757,           0.0098757
                  17,            0.065676,            0.049256,            0.039215,             0.33465,             0.33079,             0.25574,             0.09656,            0.065953,             0.02918,            0.030751,           0.0098586,           0.0098586,           0.0098586
                  18,            0.065201,            0.050073,            0.038899,             0.34025,             0.33784,             0.26808,             0.10231,            0.065774,            0.029089,            0.031039,           0.0098405,           0.0098405,           0.0098405
                  19,            0.065237,            0.049693,            0.038571,             0.39571,             0.29653,             0.27367,             0.10326,            0.065508,              0.0291,            0.030134,           0.0098213,           0.0098213,           0.0098213
                  20,            0.064921,            0.049501,            0.037883,             0.34861,             0.33884,             0.28324,             0.10854,            0.064937,             0.02896,              0.0295,           0.0098011,           0.0098011,           0.0098011
                  21,            0.064587,              0.0496,            0.037159,              0.4143,              0.3318,             0.30154,               0.118,            0.064388,            0.028629,            0.029184,           0.0097798,           0.0097798,           0.0097798
                  22,            0.064759,            0.049321,            0.037081,             0.34865,             0.35429,             0.29704,             0.11665,            0.064185,            0.028768,            0.028668,           0.0097574,           0.0097574,           0.0097574
                  23,            0.064053,            0.049187,            0.036561,             0.43549,             0.32947,             0.31353,             0.12581,            0.063984,             0.02855,             0.02798,            0.009734,            0.009734,            0.009734
                  24,            0.063644,            0.048723,             0.03641,             0.39234,             0.34544,             0.30928,              0.1239,            0.063856,            0.028542,            0.029221,           0.0097095,           0.0097095,           0.0097095
                  25,            0.063677,             0.04885,            0.035822,             0.37696,             0.37229,             0.32643,             0.13075,            0.063496,             0.02842,            0.028167,            0.009684,            0.009684,            0.009684
                  26,             0.06382,            0.048833,            0.035315,             0.44295,             0.34189,             0.33455,             0.13585,            0.063464,            0.028449,            0.028292,           0.0096575,           0.0096575,           0.0096575
