               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096034,            0.036446,            0.070717,           0.0015797,             0.03376,          0.00096427,          0.00018598,            0.088945,            0.024451,            0.061508,             0.00256,             0.00256,             0.07696
                   1,            0.083445,            0.040032,            0.064345,              0.2584,            0.074655,           0.0038713,          0.00077762,            0.083333,            0.026648,            0.058868,           0.0051297,           0.0051297,             0.05383
                   2,            0.077959,            0.039325,            0.062041,             0.16213,            0.083246,           0.0093684,           0.0020318,            0.079911,            0.024406,            0.056942,           0.0076983,           0.0076983,            0.030698
                   3,            0.073379,            0.037962,            0.059502,             0.36637,            0.077082,            0.030731,           0.0082203,            0.076568,            0.023596,            0.054134,            0.009995,            0.009995,            0.009995
                   4,            0.069207,            0.037431,            0.055457,            0.057146,             0.14262,            0.036555,            0.010702,            0.076025,            0.023482,            0.053165,            0.009995,            0.009995,            0.009995
                   5,            0.066397,            0.036737,            0.052264,             0.21101,             0.17335,            0.071478,            0.023623,             0.06839,            0.023408,             0.04581,           0.0099911,           0.0099911,           0.0099911
                   6,            0.064719,            0.036444,            0.049207,             0.23866,             0.20331,             0.10265,            0.034444,            0.067697,            0.021866,            0.043849,           0.0099861,           0.0099861,           0.0099861
                   7,            0.063084,            0.035897,            0.047389,              0.2867,             0.19408,             0.12142,            0.044537,            0.065604,            0.021843,             0.04203,             0.00998,             0.00998,             0.00998
                   8,            0.061992,            0.035659,            0.045463,             0.20221,             0.27556,             0.16963,            0.065633,            0.063647,            0.021119,            0.039129,           0.0099728,           0.0099728,           0.0099728
                   9,            0.061252,            0.034732,             0.04376,             0.29542,             0.25267,             0.18032,            0.069197,            0.062232,            0.020892,            0.038559,           0.0099645,           0.0099645,           0.0099645
                  10,            0.060308,            0.034756,             0.04287,             0.26951,              0.2825,             0.19299,            0.075065,            0.062062,            0.020808,            0.036337,           0.0099551,           0.0099551,           0.0099551
                  11,             0.05967,            0.034861,             0.04165,             0.26247,             0.29362,             0.21017,            0.084316,            0.060256,            0.020768,            0.035582,           0.0099446,           0.0099446,           0.0099446
                  12,            0.059065,            0.034403,            0.040244,             0.41374,             0.28123,             0.20627,            0.081567,            0.061977,            0.020964,            0.035903,            0.009933,            0.009933,            0.009933
                  13,            0.058535,            0.034213,            0.039405,             0.37267,             0.31351,              0.2537,             0.10708,            0.059173,            0.020207,            0.032745,           0.0099203,           0.0099203,           0.0099203
                  14,             0.05777,            0.033791,            0.038293,             0.35715,             0.26487,             0.21554,             0.08887,            0.062452,            0.021414,            0.036314,           0.0099065,           0.0099065,           0.0099065
                  15,            0.057602,            0.033632,            0.037841,             0.37477,             0.33378,             0.29413,             0.12568,             0.05764,            0.020197,            0.030756,           0.0098916,           0.0098916,           0.0098916
                  16,            0.056853,            0.033716,            0.036826,             0.40135,             0.34592,             0.30171,             0.13241,            0.057406,            0.019988,            0.031424,           0.0098757,           0.0098757,           0.0098757
                  17,            0.056353,            0.033709,            0.035813,             0.43516,             0.34427,              0.3281,             0.14257,            0.056337,            0.020764,            0.029763,           0.0098586,           0.0098586,           0.0098586
                  18,            0.056045,            0.033354,            0.034906,             0.40411,             0.35652,             0.32243,             0.14184,             0.05643,            0.019987,            0.028898,           0.0098405,           0.0098405,           0.0098405
                  19,            0.055495,            0.033099,            0.034099,             0.43621,             0.37188,              0.3486,             0.15595,            0.055655,            0.019949,            0.027328,           0.0098213,           0.0098213,           0.0098213
                  20,            0.055074,            0.032957,            0.033394,             0.40968,             0.36739,             0.34193,             0.15165,            0.056238,            0.019824,            0.028765,           0.0098011,           0.0098011,           0.0098011
                  21,            0.054974,            0.032907,            0.032889,             0.45621,             0.38118,             0.37476,             0.17082,             0.05545,            0.019521,            0.027536,           0.0097798,           0.0097798,           0.0097798
                  22,            0.054483,            0.032317,            0.032562,             0.45734,             0.40978,             0.38244,             0.17654,            0.054642,            0.019393,            0.025666,           0.0097574,           0.0097574,           0.0097574
                  23,            0.054152,            0.032394,            0.032123,             0.47948,             0.41944,             0.40187,             0.18816,            0.054135,             0.01927,            0.025538,            0.009734,            0.009734,            0.009734
                  24,            0.053744,            0.032213,            0.031433,             0.51213,             0.40491,              0.4105,             0.19504,            0.053641,            0.019182,            0.025068,           0.0097095,           0.0097095,           0.0097095
