               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10045,            0.034048,            0.071553,           0.0027914,            0.089865,           0.0019841,          0.00041306,            0.092182,            0.023887,             0.06281,             0.00256,             0.00256,             0.07696
                   1,            0.084072,            0.038863,            0.064363,           0.0090291,            0.064551,           0.0038495,          0.00079752,            0.086675,             0.02574,            0.059152,           0.0051297,           0.0051297,             0.05383
                   2,            0.079467,            0.038897,            0.061067,            0.012136,            0.091959,           0.0065315,           0.0014295,            0.081791,            0.025521,            0.055397,           0.0076983,           0.0076983,            0.030698
                   3,            0.075575,            0.038414,            0.057173,            0.018819,             0.10094,           0.0096875,           0.0024994,            0.087176,            0.022292,            0.068615,            0.009995,            0.009995,            0.009995
                   4,            0.072059,            0.036849,             0.05371,             0.13037,             0.11393,            0.040996,           0.0097749,             0.07526,            0.022342,            0.052172,            0.009995,            0.009995,            0.009995
                   5,            0.069179,            0.036545,            0.051255,             0.19297,             0.15902,            0.080429,            0.022003,            0.070741,            0.022497,            0.043856,           0.0099911,           0.0099911,           0.0099911
                   6,            0.067729,            0.036253,            0.048842,             0.13228,             0.15761,            0.072522,            0.020639,            0.070958,            0.022239,            0.043805,           0.0099861,           0.0099861,           0.0099861
                   7,              0.0661,            0.036172,            0.046953,              0.2299,             0.18323,            0.096263,            0.028015,            0.070393,            0.022147,            0.040662,             0.00998,             0.00998,             0.00998
                   8,            0.065413,            0.035615,            0.045654,             0.20882,             0.24425,             0.14815,            0.046959,            0.066362,            0.021727,            0.037736,           0.0099728,           0.0099728,           0.0099728
                   9,            0.064799,            0.035575,            0.044346,             0.25607,             0.25712,               0.186,             0.06684,            0.064326,             0.02119,            0.037191,           0.0099645,           0.0099645,           0.0099645
                  10,            0.063765,            0.035094,              0.0432,             0.31297,             0.27392,             0.20648,            0.074788,            0.063318,            0.021449,            0.034429,           0.0099551,           0.0099551,           0.0099551
                  11,            0.062991,            0.034732,            0.042299,             0.32852,             0.24843,             0.20657,            0.075575,            0.063048,            0.021032,            0.034909,           0.0099446,           0.0099446,           0.0099446
                  12,            0.062472,            0.035019,            0.041004,             0.25131,             0.27839,             0.18931,            0.067506,            0.063565,            0.021277,            0.035354,            0.009933,            0.009933,            0.009933
                  13,            0.061998,            0.034777,            0.039765,             0.30044,             0.26511,             0.20487,            0.072328,            0.063954,            0.021039,            0.038287,           0.0099203,           0.0099203,           0.0099203
                  14,            0.061523,            0.034757,            0.039271,             0.31403,             0.30552,             0.24628,            0.094044,            0.062442,            0.020689,            0.034044,           0.0099065,           0.0099065,           0.0099065
                  15,            0.060768,             0.03484,            0.038547,             0.37924,             0.28435,             0.26002,             0.09997,            0.061314,            0.020736,            0.032637,           0.0098916,           0.0098916,           0.0098916
                  16,            0.060676,            0.034385,              0.0377,             0.37395,             0.33198,             0.28274,             0.11043,            0.060502,            0.020632,            0.030695,           0.0098757,           0.0098757,           0.0098757
                  17,            0.060326,            0.034621,            0.037184,             0.34891,             0.34469,             0.28747,             0.11473,            0.060108,            0.020319,            0.029661,           0.0098586,           0.0098586,           0.0098586
                  18,            0.059778,            0.034104,            0.036564,             0.34799,              0.3165,             0.26183,            0.098204,            0.061717,            0.020434,            0.031948,           0.0098405,           0.0098405,           0.0098405
                  19,            0.059453,             0.03446,            0.035866,             0.36043,             0.35887,             0.30208,             0.11808,            0.059834,            0.020217,             0.02936,           0.0098213,           0.0098213,           0.0098213
                  20,            0.058926,            0.034123,            0.035116,             0.41268,             0.34711,              0.3112,             0.12812,            0.059442,            0.020488,            0.030681,           0.0098011,           0.0098011,           0.0098011
                  21,             0.05872,            0.033618,            0.034646,             0.42201,             0.37453,              0.3455,              0.1445,            0.058337,            0.019888,            0.027672,           0.0097798,           0.0097798,           0.0097798
                  22,            0.058476,            0.033777,            0.034001,             0.47224,             0.37292,             0.36223,              0.1535,            0.057695,            0.019942,            0.026116,           0.0097574,           0.0097574,           0.0097574
                  23,            0.058301,            0.033837,            0.033473,             0.42367,             0.36845,             0.34833,             0.14126,            0.058052,            0.020077,             0.02694,            0.009734,            0.009734,            0.009734
                  24,             0.05777,            0.033199,            0.033165,             0.50996,             0.34089,             0.35691,               0.149,            0.057868,            0.019835,            0.026834,           0.0097095,           0.0097095,           0.0097095
                  25,             0.05762,            0.033439,            0.032554,             0.47083,             0.34946,             0.33616,             0.13719,            0.059144,            0.019866,            0.027794,            0.009684,            0.009684,            0.009684
                  26,            0.057287,            0.032824,            0.032379,             0.43243,              0.3743,              0.3506,             0.14662,            0.057644,            0.019927,            0.028446,           0.0096575,           0.0096575,           0.0096575
                  27,            0.056964,            0.032996,            0.031728,             0.52299,             0.36982,             0.38766,             0.17173,            0.056587,            0.019528,            0.025404,           0.0096299,           0.0096299,           0.0096299
