               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094055,            0.037189,            0.071206,          0.00079916,            0.019393,          0.00046029,          0.00010335,            0.090321,            0.024496,            0.064245,             0.00256,             0.00256,             0.07696
                   1,             0.09011,            0.038718,            0.065366,           0.0031965,             0.10599,           0.0024025,          0.00052279,            0.087537,            0.024792,            0.061792,           0.0051297,           0.0051297,             0.05383
                   2,            0.080594,            0.040009,            0.063956,             0.21155,             0.11165,           0.0069577,            0.001727,            0.083499,            0.025701,            0.059479,           0.0076983,           0.0076983,            0.030698
                   3,            0.071687,            0.039508,            0.061778,             0.43339,             0.11308,            0.030458,           0.0082566,            0.073234,            0.025934,            0.057892,            0.009995,            0.009995,            0.009995
                   4,            0.066547,            0.038103,            0.058614,             0.18438,             0.09965,            0.023995,           0.0064019,             0.07295,            0.024353,            0.053785,            0.009995,            0.009995,            0.009995
                   5,            0.063748,            0.037185,              0.0552,             0.27429,             0.17558,            0.090887,            0.033204,            0.064085,            0.022055,            0.047778,           0.0099911,           0.0099911,           0.0099911
                   6,            0.062106,            0.036313,            0.052275,             0.24638,             0.26157,             0.13003,            0.050159,            0.062248,            0.021872,            0.043611,           0.0099861,           0.0099861,           0.0099861
                   7,            0.060708,            0.036259,            0.049156,             0.31367,             0.23188,             0.14739,            0.057013,            0.060772,            0.021607,            0.041636,             0.00998,             0.00998,             0.00998
                   8,            0.059702,            0.035756,            0.047428,             0.30784,                0.28,             0.16646,            0.064201,            0.059571,            0.021183,            0.039019,           0.0099728,           0.0099728,           0.0099728
                   9,            0.058865,            0.035645,            0.045805,             0.35855,             0.27859,             0.20043,            0.077321,            0.059206,            0.021087,            0.037468,           0.0099645,           0.0099645,           0.0099645
