               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.093646,            0.037572,            0.071278,           0.0012802,            0.024178,          0.00065885,          0.00013246,            0.090477,            0.024435,            0.064457,             0.00256,             0.00256,             0.07696
                   1,             0.08977,            0.038539,            0.065898,           0.0073525,            0.083235,           0.0045704,          0.00075233,            0.086341,            0.025568,            0.061623,           0.0051297,           0.0051297,             0.05383
                   2,            0.078636,            0.039674,            0.063616,             0.36353,            0.054372,           0.0059981,           0.0013968,            0.083263,            0.025529,            0.063373,           0.0076983,           0.0076983,            0.030698
                   3,            0.071174,            0.038978,            0.060486,             0.16266,             0.18765,            0.032126,           0.0092018,            0.075472,            0.023808,            0.056811,            0.009995,            0.009995,            0.009995
                   4,            0.066391,            0.038171,            0.057411,             0.25933,             0.17181,            0.055448,            0.015332,            0.068142,            0.024461,            0.049367,            0.009995,            0.009995,            0.009995
                   5,            0.063153,            0.037024,            0.053083,             0.30909,             0.18915,              0.1193,            0.042495,            0.063581,            0.022492,            0.045193,           0.0099911,           0.0099911,           0.0099911
                   6,            0.061165,            0.036508,            0.049747,             0.27092,              0.2707,              0.1545,            0.060225,            0.062028,             0.02157,            0.045911,           0.0099861,           0.0099861,           0.0099861
                   7,            0.059593,            0.036026,            0.047178,             0.29363,             0.27705,             0.18217,             0.07381,            0.058584,            0.021361,            0.039006,             0.00998,             0.00998,             0.00998
                   8,            0.058086,            0.035307,            0.044807,             0.29371,             0.29565,             0.20597,            0.084852,            0.059671,            0.021038,            0.036748,           0.0099728,           0.0099728,           0.0099728
                   9,            0.057438,            0.034781,            0.043289,             0.35751,                0.32,             0.25078,              0.1049,            0.057052,            0.020705,             0.03466,           0.0099645,           0.0099645,           0.0099645
                  10,            0.056399,            0.035194,            0.041486,             0.40704,             0.33375,             0.27952,             0.11984,            0.056343,            0.020623,            0.033567,           0.0099551,           0.0099551,           0.0099551
                  11,            0.055512,            0.034061,            0.040472,             0.42497,             0.32294,             0.29352,             0.13588,            0.055237,            0.020314,            0.031358,           0.0099446,           0.0099446,           0.0099446
                  12,             0.05459,            0.033903,            0.038802,             0.37862,             0.36998,             0.32535,             0.15228,            0.054436,            0.020225,            0.031813,            0.009933,            0.009933,            0.009933
                  13,            0.053823,              0.0339,            0.037621,              0.4504,             0.38886,             0.34719,             0.16353,            0.053278,             0.02006,             0.02934,           0.0099203,           0.0099203,           0.0099203
                  14,             0.05357,            0.033629,            0.036272,             0.41694,             0.39599,             0.35705,             0.16649,            0.052555,            0.019743,            0.028633,           0.0099065,           0.0099065,           0.0099065
                  15,            0.052822,             0.03357,             0.03565,             0.44867,                0.41,              0.3852,             0.18146,            0.052347,             0.01995,            0.026999,           0.0098916,           0.0098916,           0.0098916
                  16,            0.052185,            0.033214,             0.03449,             0.41642,             0.42569,             0.38834,             0.18909,            0.051701,            0.019818,            0.027575,           0.0098757,           0.0098757,           0.0098757
                  17,            0.051712,            0.032845,            0.034199,             0.49887,             0.39163,             0.39896,             0.19484,            0.051481,            0.019422,            0.027274,           0.0098586,           0.0098586,           0.0098586
                  18,            0.051383,            0.033084,            0.033148,             0.48899,             0.44813,             0.43591,             0.21313,            0.050314,            0.019523,             0.02494,           0.0098405,           0.0098405,           0.0098405
                  19,            0.050922,            0.032793,            0.032057,             0.53391,              0.4499,             0.45904,             0.23014,            0.049929,            0.019482,            0.023588,           0.0098213,           0.0098213,           0.0098213
                  20,            0.050384,            0.032613,            0.031892,             0.50162,             0.45387,             0.45126,             0.22719,            0.050081,            0.019444,            0.025316,           0.0098011,           0.0098011,           0.0098011
                  21,            0.050246,             0.03251,            0.030899,             0.54111,             0.45071,             0.46388,             0.23476,            0.049239,            0.018966,            0.023481,           0.0097798,           0.0097798,           0.0097798
                  22,            0.049575,            0.032145,            0.030551,             0.57451,             0.45316,             0.48853,             0.25184,            0.048547,            0.018721,            0.022141,           0.0097574,           0.0097574,           0.0097574
                  23,            0.049387,            0.032219,            0.030158,             0.57508,             0.48299,             0.50552,             0.26188,            0.047986,            0.018644,            0.021242,            0.009734,            0.009734,            0.009734
                  24,            0.049185,            0.031917,            0.029729,             0.56593,             0.47421,             0.49937,             0.26288,            0.048144,            0.018671,            0.021421,           0.0097095,           0.0097095,           0.0097095
                  25,            0.048794,            0.031956,            0.029285,             0.57857,             0.50832,             0.52837,              0.2778,            0.047399,            0.018741,            0.021038,            0.009684,            0.009684,            0.009684
                  26,            0.048279,            0.031845,            0.028618,             0.60302,             0.49119,             0.53218,             0.27802,            0.047242,            0.018647,            0.020536,           0.0096575,           0.0096575,           0.0096575
                  27,            0.048021,            0.031516,             0.02804,              0.6293,             0.48124,             0.52834,             0.27904,            0.047196,            0.018633,            0.020687,           0.0096299,           0.0096299,           0.0096299
                  28,            0.047875,            0.031536,            0.028107,             0.64163,             0.49943,             0.54724,             0.29196,            0.046576,            0.018408,            0.019905,           0.0096013,           0.0096013,           0.0096013
                  29,            0.047513,            0.031482,            0.026922,             0.59892,             0.52813,             0.55476,             0.30144,            0.046432,            0.018316,            0.019161,           0.0095717,           0.0095717,           0.0095717
                  30,            0.047007,            0.031023,            0.026605,             0.65002,             0.50288,             0.55993,             0.30746,            0.046201,            0.018213,            0.019076,           0.0095411,           0.0095411,           0.0095411
                  31,            0.047045,            0.031208,            0.026345,             0.63485,             0.52742,             0.57027,             0.31202,            0.045821,            0.018179,            0.018188,           0.0095095,           0.0095095,           0.0095095
                  32,            0.046528,             0.03101,            0.026034,             0.66878,             0.52107,              0.5773,              0.3152,            0.045757,            0.018104,            0.018221,           0.0094769,           0.0094769,           0.0094769
                  33,            0.046606,            0.031169,            0.025734,             0.59594,             0.54105,             0.56849,             0.31346,            0.045402,            0.018167,            0.018854,           0.0094434,           0.0094434,           0.0094434
                  34,            0.046032,            0.030551,            0.025617,             0.64459,             0.55625,             0.59119,             0.32458,            0.044964,            0.018006,            0.017674,           0.0094088,           0.0094088,           0.0094088
                  35,            0.045913,             0.03078,             0.02483,             0.64483,             0.55578,             0.59264,             0.32938,            0.044762,            0.017943,            0.017749,           0.0093733,           0.0093733,           0.0093733
                  36,            0.045613,            0.030325,            0.024515,              0.6492,             0.55474,             0.59391,             0.33435,            0.044597,            0.018265,            0.017647,           0.0093369,           0.0093369,           0.0093369
                  37,            0.045694,            0.030433,            0.024017,             0.64165,             0.55292,             0.59487,              0.3314,            0.044571,            0.017941,            0.017715,           0.0092995,           0.0092995,           0.0092995
                  38,            0.045356,            0.030661,            0.023959,             0.68979,             0.54661,             0.60936,             0.34697,            0.044165,            0.017685,            0.016835,           0.0092611,           0.0092611,           0.0092611
                  39,             0.04518,            0.030531,            0.023226,              0.6704,              0.5528,             0.60724,              0.3492,            0.044066,            0.017682,            0.017169,           0.0092219,           0.0092219,           0.0092219
                  40,            0.045085,            0.030491,            0.023301,             0.68279,             0.56359,             0.61787,             0.35332,            0.043797,            0.017614,            0.016309,           0.0091817,           0.0091817,           0.0091817
                  41,            0.044931,            0.030016,            0.023357,             0.69794,             0.55988,             0.62523,             0.35872,            0.043787,            0.017563,            0.016041,           0.0091406,           0.0091406,           0.0091406
                  42,            0.044514,            0.030118,              0.0225,             0.67363,             0.56493,             0.61461,             0.35362,            0.043587,            0.017589,            0.016318,           0.0090986,           0.0090986,           0.0090986
                  43,            0.043995,            0.029807,              0.0223,             0.69991,             0.56453,             0.62661,             0.36375,            0.043324,            0.017506,            0.016599,           0.0090557,           0.0090557,           0.0090557
                  44,            0.044411,            0.029939,            0.022021,              0.6569,             0.59564,             0.63007,             0.36635,            0.042997,            0.017485,            0.016057,           0.0090119,           0.0090119,           0.0090119
                  45,            0.044039,            0.029621,            0.022632,             0.69751,             0.57516,             0.63428,             0.36982,            0.043035,            0.017478,             0.01581,           0.0089673,           0.0089673,           0.0089673
                  46,            0.044036,            0.030203,            0.021859,             0.69341,             0.58391,             0.63784,             0.37514,            0.042879,            0.017394,            0.016061,           0.0089218,           0.0089218,           0.0089218
                  47,             0.04367,            0.029773,            0.021544,             0.72325,             0.56999,             0.64196,             0.37522,            0.042725,            0.017438,            0.015007,           0.0088755,           0.0088755,           0.0088755
                  48,            0.043539,            0.029724,             0.02134,             0.69994,             0.59475,             0.64973,             0.38141,             0.04249,            0.017284,            0.015041,           0.0088283,           0.0088283,           0.0088283
                  49,            0.043315,            0.029676,            0.020935,             0.69575,             0.60032,             0.65511,             0.38454,            0.042235,            0.017257,            0.014987,           0.0087804,           0.0087804,           0.0087804
                  50,             0.04325,            0.029555,            0.020666,             0.72028,             0.58553,              0.6536,             0.38572,            0.042204,            0.017216,            0.014674,           0.0087316,           0.0087316,           0.0087316
                  51,            0.043217,            0.029358,            0.021131,             0.69397,             0.61008,             0.65714,              0.3868,             0.04208,            0.017208,            0.015117,            0.008682,            0.008682,            0.008682
                  52,            0.042808,            0.029273,              0.0207,             0.70902,             0.59822,             0.65961,             0.39333,            0.041956,            0.017196,             0.01499,           0.0086316,           0.0086316,           0.0086316
                  53,            0.042626,            0.029023,            0.020406,             0.71666,             0.59378,             0.66007,             0.39205,            0.041829,            0.017146,            0.014816,           0.0085805,           0.0085805,           0.0085805
                  54,            0.042545,            0.029093,            0.020168,             0.72127,             0.60187,             0.66281,             0.39556,            0.041697,            0.017192,            0.014614,           0.0085286,           0.0085286,           0.0085286
                  55,             0.04243,            0.029018,            0.019782,             0.71499,              0.6122,             0.66577,             0.40068,            0.041532,            0.017139,            0.014627,           0.0084759,           0.0084759,           0.0084759
                  56,            0.042121,            0.028879,              0.0195,             0.73499,             0.60556,             0.67602,             0.40526,            0.041433,            0.016987,            0.014065,           0.0084225,           0.0084225,           0.0084225
                  57,            0.041982,            0.028899,             0.01931,              0.7573,             0.58956,             0.67452,             0.40578,            0.041282,            0.017007,            0.014313,           0.0083684,           0.0083684,           0.0083684
                  58,            0.042096,            0.028824,            0.019327,             0.74032,             0.61175,             0.68133,             0.41316,            0.041205,            0.016973,            0.014166,           0.0083136,           0.0083136,           0.0083136
                  59,             0.04176,            0.028497,            0.019012,             0.73922,             0.61758,             0.68559,             0.41527,            0.041145,            0.016889,            0.013831,           0.0082581,           0.0082581,           0.0082581
                  60,            0.041645,            0.028827,            0.018517,             0.76862,             0.59521,             0.68433,             0.41403,            0.040964,             0.01689,            0.013875,           0.0082019,           0.0082019,           0.0082019
                  61,            0.041373,            0.028373,            0.018637,             0.73696,               0.617,              0.6815,              0.4163,            0.040945,            0.016865,            0.014098,            0.008145,            0.008145,            0.008145
                  62,             0.04122,            0.028496,            0.018442,             0.72725,             0.63307,             0.68746,             0.41871,            0.040733,            0.016872,            0.013748,           0.0080875,           0.0080875,           0.0080875
                  63,            0.041371,            0.028573,            0.018408,             0.72038,             0.63659,             0.68591,             0.41945,            0.040701,            0.016843,            0.013765,           0.0080294,           0.0080294,           0.0080294
                  64,            0.041128,            0.028052,            0.018321,             0.73663,             0.62622,             0.68823,             0.42156,            0.040764,            0.016868,            0.013755,           0.0079706,           0.0079706,           0.0079706
                  65,            0.041139,            0.028254,            0.018572,             0.73643,              0.6215,             0.69003,             0.42394,            0.040577,            0.016847,            0.013683,           0.0079112,           0.0079112,           0.0079112
                  66,              0.0407,            0.028245,            0.017741,             0.75409,             0.61272,             0.69131,             0.42488,            0.040508,            0.016828,            0.013524,           0.0078512,           0.0078512,           0.0078512
                  67,            0.040619,            0.027909,            0.017825,             0.73278,             0.62397,             0.69086,             0.42553,            0.040357,            0.016869,            0.013368,           0.0077907,           0.0077907,           0.0077907
                  68,            0.040575,            0.028402,            0.017683,             0.72417,             0.63771,             0.69251,             0.42738,            0.040281,            0.016862,            0.013525,           0.0077296,           0.0077296,           0.0077296
                  69,            0.040499,            0.028066,             0.01728,             0.71645,             0.64763,              0.6937,              0.4292,            0.040234,             0.01684,            0.013281,           0.0076679,           0.0076679,           0.0076679
                  70,            0.040385,            0.027899,             0.01739,             0.74909,             0.63193,             0.69975,             0.43384,            0.040071,            0.016713,            0.013037,           0.0076057,           0.0076057,           0.0076057
                  71,            0.040163,            0.027566,             0.01695,             0.74615,             0.63904,             0.70118,             0.43413,            0.040133,            0.016692,            0.013093,            0.007543,            0.007543,            0.007543
                  72,            0.039849,            0.027892,            0.016608,             0.74926,             0.63836,              0.6993,             0.43538,            0.039993,            0.016701,            0.013205,           0.0074797,           0.0074797,           0.0074797
                  73,            0.039856,            0.027766,            0.016863,             0.73388,             0.65263,             0.70296,             0.43753,            0.039903,            0.016703,            0.013051,            0.007416,            0.007416,            0.007416
                  74,            0.039811,            0.027776,            0.016587,             0.74861,             0.63826,             0.70441,             0.43991,            0.039875,            0.016694,            0.012956,           0.0073518,           0.0073518,           0.0073518
                  75,            0.039537,            0.027836,            0.015992,               0.724,             0.65723,             0.70633,             0.44008,            0.039739,            0.016671,            0.012844,           0.0072872,           0.0072872,           0.0072872
                  76,            0.039729,            0.027626,             0.01671,             0.73256,             0.65669,             0.70867,             0.44308,            0.039666,             0.01667,            0.012754,           0.0072221,           0.0072221,           0.0072221
                  77,            0.039453,            0.027611,            0.016102,             0.73744,             0.65152,             0.70879,             0.44388,            0.039633,             0.01663,            0.012768,           0.0071566,           0.0071566,           0.0071566
                  78,            0.039324,            0.027304,            0.016255,             0.72959,             0.65979,             0.70743,             0.44377,            0.039642,            0.016633,             0.01288,           0.0070906,           0.0070906,           0.0070906
                  79,            0.039091,            0.027265,            0.015997,             0.74889,             0.65003,             0.70897,             0.44459,            0.039602,            0.016623,            0.012793,           0.0070243,           0.0070243,           0.0070243
                  80,            0.039025,            0.026848,            0.015869,             0.75537,             0.64556,             0.70732,             0.44499,            0.039557,            0.016615,            0.012812,           0.0069576,           0.0069576,           0.0069576
                  81,            0.039028,            0.027362,            0.015722,             0.74926,             0.65047,             0.70864,              0.4455,            0.039483,            0.016644,            0.012896,           0.0068906,           0.0068906,           0.0068906
                  82,            0.038863,            0.026908,            0.015255,             0.74952,             0.65085,             0.70944,             0.44728,            0.039475,             0.01664,            0.012803,           0.0068232,           0.0068232,           0.0068232
                  83,             0.03869,            0.026985,            0.015303,             0.71892,             0.67481,             0.70976,             0.45008,            0.039431,            0.016596,            0.012698,           0.0067555,           0.0067555,           0.0067555
                  84,            0.038577,            0.027122,            0.015139,              0.7565,             0.64558,             0.71145,             0.45127,            0.039334,            0.016575,            0.012572,           0.0066874,           0.0066874,           0.0066874
                  85,            0.038572,            0.026664,            0.015294,             0.74104,             0.66176,             0.71396,             0.45214,            0.039261,            0.016545,            0.012635,           0.0066191,           0.0066191,           0.0066191
                  86,             0.03829,            0.026563,            0.015311,             0.74283,              0.6647,             0.71263,             0.45175,            0.039199,            0.016534,            0.012689,           0.0065505,           0.0065505,           0.0065505
                  87,            0.038129,            0.026743,            0.014677,             0.75588,             0.65618,             0.71496,             0.45261,             0.03917,            0.016519,            0.012564,           0.0064816,           0.0064816,           0.0064816
                  88,            0.038179,            0.026698,            0.014479,             0.74927,             0.66128,             0.71664,             0.45529,            0.039124,            0.016532,            0.012531,           0.0064125,           0.0064125,           0.0064125
                  89,            0.037932,            0.026277,            0.014564,             0.74242,             0.66434,             0.71777,             0.45638,            0.039087,            0.016526,            0.012507,           0.0063432,           0.0063432,           0.0063432
                  90,             0.03788,            0.026403,             0.01444,             0.75474,             0.65813,             0.71808,             0.45689,            0.039052,            0.016523,            0.012453,           0.0062737,           0.0062737,           0.0062737
                  91,             0.03776,             0.02633,             0.01442,              0.7326,             0.67281,             0.71726,             0.45771,            0.039016,            0.016532,            0.012441,            0.006204,            0.006204,            0.006204
                  92,            0.037717,            0.026454,            0.014224,             0.74778,             0.65706,             0.71607,             0.45812,            0.038978,            0.016552,            0.012462,           0.0061341,           0.0061341,           0.0061341
                  93,            0.037345,            0.026411,            0.014011,             0.76827,             0.64665,             0.71778,             0.45832,            0.038932,            0.016533,            0.012404,            0.006064,            0.006064,            0.006064
                  94,            0.037103,            0.026256,            0.013711,             0.75992,             0.65249,             0.71762,             0.45884,            0.038916,            0.016526,             0.01243,           0.0059938,           0.0059938,           0.0059938
                  95,            0.037387,            0.026271,            0.014171,             0.76029,             0.65317,             0.71873,             0.45987,             0.03887,            0.016514,            0.012409,           0.0059235,           0.0059235,           0.0059235
                  96,            0.037108,            0.026074,            0.013465,              0.7514,             0.66112,             0.71943,             0.46053,            0.038847,            0.016516,            0.012398,           0.0058531,           0.0058531,           0.0058531
                  97,            0.037004,            0.025982,            0.014074,             0.75796,             0.65734,             0.71979,             0.46169,            0.038832,            0.016518,            0.012413,           0.0057826,           0.0057826,           0.0057826
                  98,            0.037079,             0.02616,            0.013744,             0.75168,             0.66391,              0.7198,             0.46192,            0.038779,            0.016506,            0.012385,            0.005712,            0.005712,            0.005712
                  99,            0.036965,            0.026153,            0.013656,             0.74842,             0.66681,             0.71981,             0.46201,            0.038761,            0.016498,              0.0124,           0.0056413,           0.0056413,           0.0056413
                 100,            0.036826,            0.025655,            0.013384,             0.74698,             0.66817,             0.72002,             0.46258,            0.038766,            0.016506,            0.012409,           0.0055707,           0.0055707,           0.0055707
                 101,            0.036727,             0.02592,            0.013304,             0.74507,             0.67189,              0.7206,             0.46316,            0.038727,            0.016503,             0.01238,              0.0055,              0.0055,              0.0055
