               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094472,            0.037077,             0.07173,           0.0016611,            0.022393,            0.000755,           0.0001962,            0.094568,            0.023193,            0.070226,             0.00256,             0.00256,             0.07696
                   1,             0.09103,             0.03833,            0.065973,           0.0022857,            0.048894,           0.0014389,          0.00028612,             0.08867,            0.024788,            0.062052,           0.0051297,           0.0051297,             0.05383
                   2,            0.085115,            0.038999,            0.064783,             0.80475,            0.031291,           0.0038136,          0.00074937,            0.085852,            0.031029,            0.061144,           0.0076983,           0.0076983,            0.030698
                   3,            0.075555,            0.040343,            0.063246,              0.6709,            0.031505,            0.011976,           0.0029143,            0.079037,            0.027493,            0.058146,            0.009995,            0.009995,            0.009995
                   4,             0.06959,            0.039158,            0.060765,               0.347,            0.099296,            0.039882,            0.011633,             0.06937,            0.023451,            0.054726,            0.009995,            0.009995,            0.009995
                   5,             0.06643,            0.038115,            0.058703,             0.27879,              0.1122,             0.05328,            0.017152,            0.067468,            0.023091,             0.05304,           0.0099911,           0.0099911,           0.0099911
                   6,            0.064463,            0.037314,            0.057099,              0.2353,             0.14785,            0.070354,            0.024684,            0.066303,             0.02224,            0.050921,           0.0099861,           0.0099861,           0.0099861
                   7,            0.063434,            0.037035,            0.055296,             0.47672,             0.11407,            0.079274,            0.029753,            0.065052,            0.022295,            0.048485,             0.00998,             0.00998,             0.00998
                   8,            0.062175,            0.037021,             0.05394,             0.18693,             0.24607,              0.1084,            0.041265,            0.062769,            0.022189,            0.046075,           0.0099728,           0.0099728,           0.0099728
                   9,            0.061287,            0.036448,            0.051802,             0.24699,             0.23818,             0.13041,            0.051046,            0.062798,            0.021782,            0.044805,           0.0099645,           0.0099645,           0.0099645
                  10,            0.060665,             0.03604,            0.050268,             0.25127,             0.21471,             0.10657,            0.038739,            0.065721,            0.021971,            0.046284,           0.0099551,           0.0099551,           0.0099551
                  11,            0.059883,            0.036016,            0.049013,             0.26865,             0.23645,             0.13811,            0.054454,            0.061036,            0.021628,            0.044058,           0.0099446,           0.0099446,           0.0099446
                  12,            0.059346,            0.035523,            0.048215,             0.29227,             0.25632,             0.16301,            0.064123,              0.0609,            0.021757,            0.039906,            0.009933,            0.009933,            0.009933
